Year,Jan,Feb,Mar,Apr,May ,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1965,10,11.8,19.4,41.8,58.6,66.5,70.5,68.6,52.8,50.6,33,28,42.6
1964,20,23.9,25.8,46.7,61.4,68.7,76,68.5,58.9,48.2,35,14.8,45.7
1963,2.9,12,34.2,47.3,55.4,69.8,73.5,68.9,62.1,58.1,38.3,10,44.4
1962,7.1,11.6,24.5,42.1,60.5,66.2,67.5,68.3,56.4,50.2,35,18.9,42.4
1961,12,22.5,32,38.5,54.6,68,70.8,71.3,59,52.2,33.4,15.3,44.1
1960,17.4,17.8,19.8,45.9,56.9,63.8,71.7,72,61.7,48.7,33.3,16.8,43.8
1959,10.5,17.2,34,47.1,60.6,70.8,74.4,75.2,63.1,44.4,25.4,30.1,46
1958,22.4,15.5,33.1,47.8,60.8,63.3,70.3,71.3,62.7,53.1,35.7,15.9,46
1957,10,20.5,30.4,46.9,57,67.3,76.5,70.9,59.4,48.6,32.7,25.3,45.5
1956,12.7,15,25.9,41.8,58.1,73.3,70.1,71.2,58.7,56.5,34,23.8,45.1
1955,14,14.4,25.6,53.9,63.3,68.2,78,76.1,63,51.4,25.6,12.2,45.5
1954,10.3,31.7,27.9,46.5,53.1,71.2,74.4,70.3,60.5,47.7,38.2,23.4,46.3
1953,16.7,17.9,31.2,40.9,58.6,70.9,72.5,73.3,62.1,57.4,39.2,21.9,46.9
1952,12.4,23.7,26.1,50.1,58.6,69.5,73.2,69.1,63.1,44.3,35.3,23.3,45.7
1951,9.3,17.5,21.1,42.3,61.7,64.7,71.7,68.1,56.9,48.8,25.6,16.4,42
1950,6.8,16.3,24,36.9,56,67.8,70.5,67.7,62.6,53.6,27.7,12.3,41.9
1949,14.1,13.3,29.5,47.1,62,72.2,76.4,74.2,58.4,52.9,37.1,20.4,46.5
1948,10.1,15.6,27.3,50,58.5,67.3,75.1,72.7,67.8,51.2,35.1,19.9,45.9
1947,21.5,14.8,28.9,42.1,53.5,64.6,72.8,78.2,63.1,59.2,26.5,18.1,45.3
1946,15.1,16.7,42.4,51.1,55.3,67,73.6,68.8,59.9,51.3,33.1,20.6,46.2
1945,12.7,17.7,39.8,43.9,52.1,61.4,70.4,71,60.1,48.6,31.8,13.4,43.6
1944,26.5,20.6,25.8,42.9,62.4,69.7,71.3,71.6,61.6,51.2,37.7,19.3,46.7
1943,7.8,17.3,23.6,44.4,55.7,70.3,74.6,71.9,58.2,49.5,29.5,23.4,43.9
1942,20.5,20.8,35.8,52.2,56,66.7,71.4,70.5,57.2,50.3,33.6,15.4,45.9
1941,17.4,14.8,28.1,52.9,63.3,69.1,74.7,72.6,63.2,50.9,36.5,26.2,47.5
1940,6.5,19.4,24.2,43.7,56,68,75.8,68.7,65.3,54,27.8,22,44.3
1939,19.7,9.2,29.4,42.4,63.6*,68.6,74.6,71.2,64.2,47.5,37.6,27.7,46.3*
1938,13.5,21.8,38.1,46,56.7,67.9,73.4,73.8,62.2,55.4,31.5,20.3,46.7
1937,5.4,13.4,26.9,44.5,59.8,67.2,77,77.7,63.5,46.7,31.9,17.9,44.3
1936,3.9,-0.1,29.9,39.8,64.2,66.4,81.3,74.7,66.7,46.4,30.1,22.6,43.8
1935,10.9,25.5,34.1,44,54.9,64.3,79.9,72.6,62.2,48.5,28.6,17.5,45.3
1934,21.2,18.5,29,46,68.7,73,76.2,70.1,57.3,54,38.8,14.9,47.3
1933,23.1,14.2,30.5,44.9,58.8,77.9,77.1,70.7,67.4,47.4,30.7,17,46.6
1932,18.1,19.4,21.8,46.6,59.1,72.3,74.7,72.7,61.9,46.3,30.7,16.8,45
1931,25.9,31.9,31.4,50,56.1,73.7,76.8,70.5,68.7,54.4,40.3,30,50.8
1930,7,27.4,31.6,49.4,58.3,68.6,75.3,75.3,62.4,47.9,37,23.1,46.9
1929,1.9,10.5,34.1,46.8,54.9,65.7,74,71,59,49.8,29,18,42.9
1928,17.2,21.7,32.9,39.6,61,62.6,72.3,70.3,58.3,50.7,36.4,25.7,45.7
1927,13.7,23.1,35.5,46.4,53.8,64.9,69.5,67,63,51.8,29.9,8.8,43.9
1926,17,23.6,26.1,44.3,62.5,64.1,72.7,69.7,57.5,47.2,27.5,14.9,43.9
1925,14.3,21.6,35.2,53.2,55.4,67.2,70.7,72.4,65.8,38.2,32.5,16.7,45.3
1924,8,21.7,29.8,44.2,50.4,64.6,69.9,68.1,57.6,56.5,33.1,9.2,42.8
1923,17.9,10.3,21.4,44,59.7,71.2,76,67.3,63.1,48,39.5,29.9,45.7
1922,13.8,11.6,32.4,45.6,63.2,69.4,70,73.4,65.7,53.6,39.6,18.2,46.4
1921,22.1,24.1,33.6,50.5,60,74.3,77.5,70.4,64,51.4,27.5,20.5,48
1920,7.7,15.9,31.3,38.6,59.3,68.4,70.6,70,65.5,56.5,33.1,23.5,45
1919,22.3,16.4,30.4,45.2,58.2,70.2,74.6,69.4,64.3,44.7,26.6,10.9,44.4
1918,4,18,39.1,44.2,60.1,66.8,70.7,70.9,55.1,50.9,37.8,28.5,45.5
1917,7.1,5.6,27.2,41.9,54.6,63.3,73,67.4,60,38.6,38.8,9.9,40.6
1916,10.1,11.1,26,43.5,56.9,62.9,79,72,59.7,46.9,34.6,12.4,42.9
1915,12.6,25.4,27.9,56,52.2,62.5,67.2,65.5,60.6,51.4,35.5,22.7,44.9
1914,21.4,7.6,30.6,44.7,60.5,66.8,75.1,69.2,62.4,55.4,36,12.2,45.2
1913,13,12.7,25.7,49,55.9,70.5,70.4,72.9,61.4,46.3,40.2,30.4,45.7
1912,-2.7,13.6,24.1,48.6,59,65.2,71.3,66.8,61.2,51.4,37.5,24,43.3
1911,11.1,22,36,45.7,63.6,73.1,71.1,66.7,59.3,45.9,23,24,45.1
1910,15.4,11.5,44.9,50.5,54.8,71.2,73.9,69,61.5,54,27.8,19.1,46.1
1909,14.5,18,29.2,38.5,55.6,67.4,71.6,73.9,61,46.9,37.6,12.4,43.9
1908,19.8,21.4,29.3,46.7,56.2,65.1,72.7,69,68,49.1,36.3,21.1,46.2
1907,7.3,17.5,31.4,37,46.9,65.6,71.2,69,58.5,47.9,34.6,25,42.7
1906,20,16.3,22.4,50.4,55.8,66.5,70.8,71.4,65.4,47.9,33.6,19.7,45
1905,7.3,11.9,35.1,44,54.2,64.9,69.8,70.7,63.7,45.6,35.2,23.9,43.9
1904,7.3,5.2,27.7,41,57.5,65.7,68.4,66.3,59.7,48.8,38.5,19.9,42.2
1903,14.6,14.8,33.6,45.1,59.1,65.4,69.4,65.1,58.3,50,29.8,12.6,43.1
1902,18.7,18.2,36.1,44.5,60.1,64.1,71.5,66.5,57.3,49.6,36,15.5,44.9
1901,15.2,12.3,28.9,49.4,59.3,69,77.3,72.3,60,51.6,30.9,15.9,45.2
1900,21.3,8.6,25.6,52.8,62,68.8,71,76.6,61.5,57.8,28.6,21,46.3
1899,13.7,7.8,17.1,48.1,58.2,67.7,73.3,72.2,59.3,52.8,41.2,21.4,44.4
1898,23,20.6,34.7,45.3,58.1,68.7,73.3,69.6,64.2,45.9,29.7,14.1,45.6
1897,10.7,20,24.7,46.5,57.4,65,74.5,66.9,68.8,54.3,29.6,15.3,44.5
1896,16.8,22.3,26.3,48.2,64.1,69,71.8,71.2,57.9,46.3,22.6,24.4,45.1
1895,7,12,29.9,53.1,59.6,67.9,70.7,70.1,66.2,45,31.9,22.6,44.7
1894,12.3,15.7,36.5,49.6,59,73.3,77,72.3,64.3,50.2,28.5,28.1,47.2
1893,7.3,12,24.9,40.3,54.5,72,74.1,69.5,62.9,50.5,32.8,14,42.9
1892,13.5,22.9,29.9,43.5,51.6,64.7,71.6,70,63.5,53.5,29.5,16.8,44.3
1891,21.6,11.8,23.5,48.2,58.6,66.2,66.4,68.2,67.7,50.1,28.6,30.1,45.1
1890,10.6,19.2,22.6,47.9,52.3,69.7,71.9,65,58.2,46.3,35.6,24.4,43.6
1889,20.7,10.6,36.7,48.5,56.1,64.3,71.2,70.5,59.2,45.1,29.6,28.8,45.1
1888,-0.4,13.1,18.8,41.6,50.2,66.9,73.2,67.5,58,45.2,36.2,25.2,41.3
1887,0.7,9.4,26.9,45.3,64.1,70,74,66.7,58.4,42.9,31.4,17.4,42.3
1886,3.7,14.9,27.5,49.7,60,66.6,73.3,71,59.1,53.4,28.2,7.3,42.9
1885,4.4,11.3,28.4,47.6,58.3,68.4,73.9,66.5,60.5,44.1,33.6,20.9,43.2
1884,8.8,12.9,28.1,46.8,59.4,70.5,70.3,69.7,63.9,52.5,32.3,14.8,44.2
1883,0.8,12.1,25.1,46.3,52.9,66.7,71.7,68,57.8,46.3,33,19.7,41.7
1882,19,30.4,31.5,47.1,54.4,67.1,68.1,72.7,63.2,52.6,34.3,15,46.3
1881,7.8,17.1,31.6,45,65.6,68.5,74.3,74.5,60.8,48.6,30.6,28.9,46.1
1880,25.9,19.6,29.4,45.6,63.1,68.8,73.2,70.4,59.9,46.5,22.2,13.2,44.8
1879,16.1,12.7,31.8,49.7,59,67.9,74.3,71.1,57.6,57.7,32.6,11.5,45.2
1878,21.8,31.5,44.8,51.2,54.9,67.1,74.6,72.9,61.6,46.1,38.7,19.1,48.7
1877,8.6,31.9,24,45.8,61.7,63.8,73.2,72.8,64.2,47.2,32.8,33.8,46.6
1876,15.7,15.9,23.3,43.8,59.1,65.9,73.1,70.3,57.6,44.1,29.7,8.3,42.2
1875,-3.4,-2.6,21,38.4,57.1,63.1,71.5,67.6,57.7,42.6,24.4,24.7,38.5
1874,12.2,12.6,22.7,35.8,61.2,68.3,74.2,70.3,60.9,49.2,28.2,17.2,42.7
1873,5.4,12.8,25.1,42.6,56,71.9,68.8,69.8,53.3,40.8,24.4,17.6,40.7
1872,M,M,M,M,M,M,M,M,M,47.8,23.9,6,M
